Nome,Data,ValorKB,ValorPC,ValorNE
Xbox Series S,2022-04-10 01:00:00,R$ 1100.00,R$ 1650.00,R$ 1100.00
iPhone 11 64GB,2022-04-10 01:00:00,R$ 4448.66,R$ 2660.00,R$ 6512.40
"TV Samsung T5300 43""",2022-04-10 01:00:00,R$ 2518.21,R$ 3000.00,R$ 954.00
Nintendo Switch,2022-04-10 01:00:00,R$ 800.00,R$ 920.00,R$ 2028.36
Xbox Series S,2022-04-10 02:00:00,R$ 1100.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-10 02:00:00,R$ 5783.26,R$ 2660.00,R$ 7500.00
"TV Samsung T5300 43""",2022-04-10 02:00:00,R$ 2518.21,R$ 3000.00,R$ 954.00
Nintendo Switch,2022-04-10 02:00:00,R$ 800.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-10 03:00:00,R$ 1683.00,R$ 1000.00,R$ 1364.00
iPhone 11 64GB,2022-04-10 03:00:00,R$ 4626.61,R$ 2872.80,R$ 4800.00
"TV Samsung T5300 43""",2022-04-10 03:00:00,R$ 2090.12,R$ 1200.00,R$ 954.00
Nintendo Switch,2022-04-10 03:00:00,R$ 1360.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-10 04:00:00,R$ 1817.64,R$ 1180.00,R$ 1364.00
iPhone 11 64GB,2022-04-10 04:00:00,R$ 4626.61,R$ 2660.00,R$ 4800.00
"TV Samsung T5300 43""",2022-04-10 04:00:00,R$ 2090.12,R$ 1776.00,R$ 954.00
Nintendo Switch,2022-04-10 04:00:00,R$ 2000.00,R$ 1508.80,R$ 1000.00
Xbox Series S,2022-04-10 05:00:00,R$ 2750.00,R$ 1722.80,R$ 2018.72
iPhone 11 64GB,2022-04-10 05:00:00,R$ 4626.61,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-10 05:00:00,R$ 1200.00,R$ 1200.00,R$ 954.00
Nintendo Switch,2022-04-10 05:00:00,R$ 2000.00,R$ 920.00,R$ 1130.00
Xbox Series S,2022-04-10 06:00:00,R$ 2750.00,R$ 1636.66,R$ 2018.72
iPhone 11 64GB,2022-04-10 06:00:00,R$ 6150.00,R$ 4043.20,R$ 3000.00
"TV Samsung T5300 43""",2022-04-10 06:00:00,R$ 1200.00,R$ 1200.00,R$ 839.52
Nintendo Switch,2022-04-10 06:00:00,R$ 820.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-10 07:00:00,R$ 2750.00,R$ 1489.36,R$ 1100.00
iPhone 11 64GB,2022-04-10 07:00:00,R$ 6150.00,R$ 5741.34,R$ 5010.00
"TV Samsung T5300 43""",2022-04-10 07:00:00,R$ 1200.00,R$ 1200.00,R$ 839.52
Nintendo Switch,2022-04-10 07:00:00,R$ 820.00,R$ 1334.00,R$ 1000.00
Xbox Series S,2022-04-10 08:00:00,R$ 2750.00,R$ 2397.87,R$ 1100.00
iPhone 11 64GB,2022-04-10 08:00:00,R$ 6150.00,R$ 4478.25,R$ 3000.00
"TV Samsung T5300 43""",2022-04-10 08:00:00,R$ 1200.00,R$ 1200.00,R$ 839.52
Nintendo Switch,2022-04-10 08:00:00,R$ 951.20,R$ 1334.00,R$ 1120.00
Xbox Series S,2022-04-10 09:00:00,R$ 1100.00,R$ 2500.00,R$ 1265.00
iPhone 11 64GB,2022-04-10 09:00:00,R$ 6150.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-10 09:00:00,R$ 1200.00,R$ 1896.00,R$ 600.00
Nintendo Switch,2022-04-10 09:00:00,R$ 800.00,R$ 1334.00,R$ 1000.00
Xbox Series S,2022-04-10 10:00:00,R$ 1100.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-10 10:00:00,R$ 3936.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-10 10:00:00,R$ 2016.00,R$ 2938.80,R$ 600.00
Nintendo Switch,2022-04-10 10:00:00,R$ 800.00,R$ 1760.88,R$ 1000.00
Xbox Series S,2022-04-10 11:00:00,R$ 1276.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-10 11:00:00,R$ 3936.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-10 11:00:00,R$ 1249.92,R$ 1200.00,R$ 852.00
Nintendo Switch,2022-04-10 11:00:00,R$ 800.00,R$ 2130.66,R$ 1440.00
Xbox Series S,2022-04-10 12:00:00,R$ 1276.00,R$ 1000.00,R$ 1320.00
iPhone 11 64GB,2022-04-10 12:00:00,R$ 4447.68,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-10 12:00:00,R$ 1249.92,R$ 1692.00,R$ 852.00
Nintendo Switch,2022-04-10 12:00:00,R$ 1088.00,R$ 2300.00,R$ 1440.00
Xbox Series S,2022-04-10 13:00:00,R$ 1276.00,R$ 1310.00,R$ 1623.60
iPhone 11 64GB,2022-04-10 13:00:00,R$ 2460.00,R$ 3537.80,R$ 3000.00
"TV Samsung T5300 43""",2022-04-10 13:00:00,R$ 1249.92,R$ 1692.00,R$ 852.00
Nintendo Switch,2022-04-10 13:00:00,R$ 800.00,R$ 2300.00,R$ 1238.40
Xbox Series S,2022-04-10 14:00:00,R$ 1939.52,R$ 1886.40,R$ 1623.60
iPhone 11 64GB,2022-04-10 14:00:00,R$ 2460.00,R$ 3537.80,R$ 3000.00
"TV Samsung T5300 43""",2022-04-10 14:00:00,R$ 1200.00,R$ 1692.00,R$ 1371.72
Nintendo Switch,2022-04-10 14:00:00,R$ 800.00,R$ 1587.00,R$ 1238.40
Xbox Series S,2022-04-10 15:00:00,R$ 1939.52,R$ 2500.00,R$ 2159.39
iPhone 11 64GB,2022-04-10 15:00:00,R$ 3567.00,R$ 5059.05,R$ 3000.00
"TV Samsung T5300 43""",2022-04-10 15:00:00,R$ 1200.00,R$ 1200.00,R$ 1193.40
Nintendo Switch,2022-04-10 15:00:00,R$ 1096.00,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-10 16:00:00,R$ 2750.00,R$ 2500.00,R$ 2569.67
iPhone 11 64GB,2022-04-10 16:00:00,R$ 5136.48,R$ 5767.32,R$ 3000.00
"TV Samsung T5300 43""",2022-04-10 16:00:00,R$ 1332.00,R$ 1200.00,R$ 600.00
Nintendo Switch,2022-04-10 16:00:00,R$ 1096.00,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-10 17:00:00,R$ 2750.00,R$ 2500.00,R$ 2569.67
iPhone 11 64GB,2022-04-10 17:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-10 17:00:00,R$ 1332.00,R$ 1200.00,R$ 630.00
Nintendo Switch,2022-04-10 17:00:00,R$ 1326.16,R$ 2116.00,R$ 1060.00
Xbox Series S,2022-04-10 18:00:00,R$ 2750.00,R$ 2500.00,R$ 2132.83
iPhone 11 64GB,2022-04-10 18:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-10 18:00:00,R$ 1200.00,R$ 2064.00,R$ 630.00
Nintendo Switch,2022-04-10 18:00:00,R$ 1326.16,R$ 2116.00,R$ 1060.00
Xbox Series S,2022-04-10 19:00:00,R$ 2750.00,R$ 1000.00,R$ 2132.83
iPhone 11 64GB,2022-04-10 19:00:00,R$ 3591.60,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-10 19:00:00,R$ 1740.00,R$ 1200.00,R$ 661.50
Nintendo Switch,2022-04-10 19:00:00,R$ 1326.16,R$ 2116.00,R$ 1060.00
Xbox Series S,2022-04-10 20:00:00,R$ 2750.00,R$ 1250.00,R$ 1100.00
iPhone 11 64GB,2022-04-10 20:00:00,R$ 4166.26,R$ 4468.80,R$ 3000.00
"TV Samsung T5300 43""",2022-04-10 20:00:00,R$ 1740.00,R$ 1200.00,R$ 1058.40
Nintendo Switch,2022-04-10 20:00:00,R$ 1604.65,R$ 2116.00,R$ 1484.00
Xbox Series S,2022-04-10 21:00:00,R$ 1100.00,R$ 1075.00,R$ 1100.00
iPhone 11 64GB,2022-04-10 21:00:00,R$ 2460.00,R$ 5183.81,R$ 3000.00
"TV Samsung T5300 43""",2022-04-10 21:00:00,R$ 2540.40,R$ 1332.00,R$ 1058.40
Nintendo Switch,2022-04-10 21:00:00,R$ 800.00,R$ 1967.88,R$ 1000.00
Xbox Series S,2022-04-10 22:00:00,R$ 1100.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-10 22:00:00,R$ 3124.20,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-10 22:00:00,R$ 3000.00,R$ 2224.44,R$ 1058.40
Nintendo Switch,2022-04-10 22:00:00,R$ 1208.00,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-10 23:00:00,R$ 1100.00,R$ 1400.00,R$ 1265.00
iPhone 11 64GB,2022-04-10 23:00:00,R$ 3124.20,R$ 2660.00,R$ 4620.00
"TV Samsung T5300 43""",2022-04-10 23:00:00,R$ 2040.00,R$ 1601.60,R$ 1301.83
Nintendo Switch,2022-04-10 23:00:00,R$ 1836.16,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-11 00:00:00,R$ 1100.00,R$ 1000.00,R$ 1265.00
iPhone 11 64GB,2022-04-11 00:00:00,R$ 2460.00,R$ 2660.00,R$ 7068.60
"TV Samsung T5300 43""",2022-04-11 00:00:00,R$ 1734.00,R$ 1601.60,R$ 1301.83
Nintendo Switch,2022-04-11 00:00:00,R$ 800.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-11 01:00:00,R$ 1518.00,R$ 1520.00,R$ 1480.05
iPhone 11 64GB,2022-04-11 01:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-11 01:00:00,R$ 3000.00,R$ 2354.35,R$ 937.32
Nintendo Switch,2022-04-11 01:00:00,R$ 800.00,R$ 1159.20,R$ 1000.00
Xbox Series S,2022-04-11 02:00:00,R$ 2656.50,R$ 1520.00,R$ 1480.05
iPhone 11 64GB,2022-04-11 02:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-11 02:00:00,R$ 3000.00,R$ 1200.00,R$ 937.32
Nintendo Switch,2022-04-11 02:00:00,R$ 800.00,R$ 920.00,R$ 1320.00
Xbox Series S,2022-04-11 03:00:00,R$ 1100.00,R$ 1520.00,R$ 2590.09
iPhone 11 64GB,2022-04-11 03:00:00,R$ 2460.00,R$ 3325.00,R$ 4140.00
"TV Samsung T5300 43""",2022-04-11 03:00:00,R$ 1200.00,R$ 1200.00,R$ 890.45
Nintendo Switch,2022-04-11 03:00:00,R$ 1248.00,R$ 1545.60,R$ 1452.00
Xbox Series S,2022-04-11 04:00:00,R$ 1100.00,R$ 2371.20,R$ 1100.00
iPhone 11 64GB,2022-04-11 04:00:00,R$ 3936.00,R$ 3890.25,R$ 3560.40
"TV Samsung T5300 43""",2022-04-11 04:00:00,R$ 1200.00,R$ 1200.00,R$ 890.45
Nintendo Switch,2022-04-11 04:00:00,R$ 1859.52,R$ 1545.60,R$ 1452.00
Xbox Series S,2022-04-11 05:00:00,R$ 1100.00,R$ 1351.58,R$ 1386.00
iPhone 11 64GB,2022-04-11 05:00:00,R$ 3936.00,R$ 5757.57,R$ 3987.65
"TV Samsung T5300 43""",2022-04-11 05:00:00,R$ 1800.00,R$ 2064.00,R$ 600.00
Nintendo Switch,2022-04-11 05:00:00,R$ 1859.52,R$ 1715.62,R$ 1858.56
Xbox Series S,2022-04-11 06:00:00,R$ 1749.00,R$ 1000.00,R$ 1386.00
iPhone 11 64GB,2022-04-11 06:00:00,R$ 4880.64,R$ 6650.00,R$ 4426.29
"TV Samsung T5300 43""",2022-04-11 06:00:00,R$ 1800.00,R$ 1259.04,R$ 864.00
Nintendo Switch,2022-04-11 06:00:00,R$ 2000.00,R$ 2213.14,R$ 1000.00
Xbox Series S,2022-04-11 07:00:00,R$ 2588.52,R$ 1000.00,R$ 1386.00
iPhone 11 64GB,2022-04-11 07:00:00,R$ 4880.64,R$ 4189.50,R$ 5178.76
"TV Samsung T5300 43""",2022-04-11 07:00:00,R$ 1800.00,R$ 1712.29,R$ 1175.04
Nintendo Switch,2022-04-11 07:00:00,R$ 2000.00,R$ 2213.14,R$ 1000.00
Xbox Series S,2022-04-11 08:00:00,R$ 2750.00,R$ 1420.00,R$ 1898.82
iPhone 11 64GB,2022-04-11 08:00:00,R$ 4880.64,R$ 4776.03,R$ 3366.19
"TV Samsung T5300 43""",2022-04-11 08:00:00,R$ 1200.00,R$ 1200.00,R$ 1386.55
Nintendo Switch,2022-04-11 08:00:00,R$ 2000.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-11 09:00:00,R$ 2750.00,R$ 1973.80,R$ 1100.00
iPhone 11 64GB,2022-04-11 09:00:00,R$ 2460.00,R$ 4776.03,R$ 3366.19
"TV Samsung T5300 43""",2022-04-11 09:00:00,R$ 1200.00,R$ 1752.00,R$ 984.45
Nintendo Switch,2022-04-11 09:00:00,R$ 800.00,R$ 920.00,R$ 1170.00
Xbox Series S,2022-04-11 10:00:00,R$ 2750.00,R$ 1973.80,R$ 1100.00
iPhone 11 64GB,2022-04-11 10:00:00,R$ 2460.00,R$ 4250.67,R$ 3000.00
"TV Samsung T5300 43""",2022-04-11 10:00:00,R$ 1200.00,R$ 1226.40,R$ 1201.03
Nintendo Switch,2022-04-11 10:00:00,R$ 1392.00,R$ 1186.80,R$ 1170.00
Xbox Series S,2022-04-11 11:00:00,R$ 2750.00,R$ 1973.80,R$ 1100.00
iPhone 11 64GB,2022-04-11 11:00:00,R$ 2460.00,R$ 4250.67,R$ 3000.00
"TV Samsung T5300 43""",2022-04-11 11:00:00,R$ 1200.00,R$ 1200.00,R$ 600.00
Nintendo Switch,2022-04-11 11:00:00,R$ 1044.00,R$ 1186.80,R$ 1000.00
Xbox Series S,2022-04-11 12:00:00,R$ 1100.00,R$ 1973.80,R$ 1100.00
iPhone 11 64GB,2022-04-11 12:00:00,R$ 3124.20,R$ 4250.67,R$ 4200.00
"TV Samsung T5300 43""",2022-04-11 12:00:00,R$ 1344.00,R$ 1200.00,R$ 600.00
Nintendo Switch,2022-04-11 12:00:00,R$ 1461.60,R$ 1981.96,R$ 1450.00
Xbox Series S,2022-04-11 13:00:00,R$ 1265.00,R$ 2388.30,R$ 1353.00
iPhone 11 64GB,2022-04-11 13:00:00,R$ 3124.20,R$ 4548.21,R$ 6300.00
"TV Samsung T5300 43""",2022-04-11 13:00:00,R$ 1344.00,R$ 1200.00,R$ 600.00
Nintendo Switch,2022-04-11 13:00:00,R$ 1827.00,R$ 1981.96,R$ 1450.00
Xbox Series S,2022-04-11 14:00:00,R$ 1265.00,R$ 1600.16,R$ 1353.00
iPhone 11 64GB,2022-04-11 14:00:00,R$ 4842.51,R$ 2660.00,R$ 3024.00
"TV Samsung T5300 43""",2022-04-11 14:00:00,R$ 1200.00,R$ 1896.00,R$ 600.00
Nintendo Switch,2022-04-11 14:00:00,R$ 1260.63,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-11 15:00:00,R$ 1265.00,R$ 1000.00,R$ 1353.00
iPhone 11 64GB,2022-04-11 15:00:00,R$ 2460.00,R$ 2660.00,R$ 3024.00
"TV Samsung T5300 43""",2022-04-11 15:00:00,R$ 1656.00,R$ 1459.92,R$ 708.00
Nintendo Switch,2022-04-11 15:00:00,R$ 800.00,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-11 16:00:00,R$ 1265.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-11 16:00:00,R$ 3198.00,R$ 2660.00,R$ 3024.00
"TV Samsung T5300 43""",2022-04-11 16:00:00,R$ 1200.00,R$ 1200.00,R$ 600.00
Nintendo Switch,2022-04-11 16:00:00,R$ 800.00,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-11 17:00:00,R$ 1265.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-11 17:00:00,R$ 2460.00,R$ 2660.00,R$ 4898.88
"TV Samsung T5300 43""",2022-04-11 17:00:00,R$ 1200.00,R$ 1200.00,R$ 600.00
Nintendo Switch,2022-04-11 17:00:00,R$ 800.00,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-11 18:00:00,R$ 1100.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-11 18:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-11 18:00:00,R$ 1416.00,R$ 1788.00,R$ 600.00
Nintendo Switch,2022-04-11 18:00:00,R$ 992.00,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-11 19:00:00,R$ 1100.00,R$ 1000.00,R$ 1573.00
iPhone 11 64GB,2022-04-11 19:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-11 19:00:00,R$ 1200.00,R$ 2109.84,R$ 660.00
Nintendo Switch,2022-04-11 19:00:00,R$ 912.64,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-11 20:00:00,R$ 1100.00,R$ 1400.00,R$ 1856.14
iPhone 11 64GB,2022-04-11 20:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-11 20:00:00,R$ 1944.00,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-11 20:00:00,R$ 1368.96,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-11 21:00:00,R$ 1100.00,R$ 2086.00,R$ 2750.00
iPhone 11 64GB,2022-04-11 21:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-11 21:00:00,R$ 1200.00,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-11 21:00:00,R$ 1368.96,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-11 22:00:00,R$ 1100.00,R$ 1063.86,R$ 2750.00
iPhone 11 64GB,2022-04-11 22:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-11 22:00:00,R$ 1200.00,R$ 2010.00,R$ 984.00
Nintendo Switch,2022-04-11 22:00:00,R$ 1040.41,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-11 23:00:00,R$ 1100.00,R$ 1063.86,R$ 2750.00
iPhone 11 64GB,2022-04-11 23:00:00,R$ 2632.20,R$ 2660.00,R$ 5190.00
"TV Samsung T5300 43""",2022-04-11 23:00:00,R$ 1668.00,R$ 1200.00,R$ 1033.20
Nintendo Switch,2022-04-11 23:00:00,R$ 800.00,R$ 1403.00,R$ 1000.00
Xbox Series S,2022-04-12 00:00:00,R$ 1100.00,R$ 1063.86,R$ 2750.00
iPhone 11 64GB,2022-04-12 00:00:00,R$ 4369.45,R$ 2660.00,R$ 7500.00
"TV Samsung T5300 43""",2022-04-12 00:00:00,R$ 2018.28,R$ 1200.00,R$ 774.90
Nintendo Switch,2022-04-12 00:00:00,R$ 800.00,R$ 1080.31,R$ 1570.00
Xbox Series S,2022-04-12 01:00:00,R$ 1100.00,R$ 1063.86,R$ 2750.00
iPhone 11 64GB,2022-04-12 01:00:00,R$ 2460.00,R$ 3298.40,R$ 6450.00
"TV Samsung T5300 43""",2022-04-12 01:00:00,R$ 2018.28,R$ 1200.00,R$ 774.90
Nintendo Switch,2022-04-12 01:00:00,R$ 800.00,R$ 1080.31,R$ 1899.70
Xbox Series S,2022-04-12 02:00:00,R$ 1364.00,R$ 1063.86,R$ 2750.00
iPhone 11 64GB,2022-04-12 02:00:00,R$ 2460.00,R$ 3100.50,R$ 6450.00
"TV Samsung T5300 43""",2022-04-12 02:00:00,R$ 2018.28,R$ 1200.00,R$ 600.00
Nintendo Switch,2022-04-12 02:00:00,R$ 800.00,R$ 1209.95,R$ 1899.70
Xbox Series S,2022-04-12 03:00:00,R$ 1364.00,R$ 1531.96,R$ 2750.00
iPhone 11 64GB,2022-04-12 03:00:00,R$ 3985.20,R$ 4991.80,R$ 6450.00
"TV Samsung T5300 43""",2022-04-12 03:00:00,R$ 2018.28,R$ 1200.00,R$ 600.00
Nintendo Switch,2022-04-12 03:00:00,R$ 800.00,R$ 1923.82,R$ 1899.70
Xbox Series S,2022-04-12 04:00:00,R$ 1364.00,R$ 1531.96,R$ 2750.00
iPhone 11 64GB,2022-04-12 04:00:00,R$ 2460.00,R$ 6089.99,R$ 6450.00
"TV Samsung T5300 43""",2022-04-12 04:00:00,R$ 2018.28,R$ 1200.00,R$ 936.00
Nintendo Switch,2022-04-12 04:00:00,R$ 992.00,R$ 2300.00,R$ 2500.00
Xbox Series S,2022-04-12 05:00:00,R$ 1100.00,R$ 2206.02,R$ 2750.00
iPhone 11 64GB,2022-04-12 05:00:00,R$ 2460.00,R$ 6089.99,R$ 4515.00
"TV Samsung T5300 43""",2022-04-12 05:00:00,R$ 1614.62,R$ 1200.00,R$ 1500.00
Nintendo Switch,2022-04-12 05:00:00,R$ 800.00,R$ 1035.00,R$ 1550.00
Xbox Series S,2022-04-12 06:00:00,R$ 1606.00,R$ 2500.00,R$ 2750.00
iPhone 11 64GB,2022-04-12 06:00:00,R$ 2460.00,R$ 6089.99,R$ 6637.05
"TV Samsung T5300 43""",2022-04-12 06:00:00,R$ 2066.72,R$ 1536.00,R$ 1500.00
Nintendo Switch,2022-04-12 06:00:00,R$ 800.00,R$ 1035.00,R$ 1550.00
Xbox Series S,2022-04-12 07:00:00,R$ 1606.00,R$ 2500.00,R$ 2750.00
iPhone 11 64GB,2022-04-12 07:00:00,R$ 2460.00,R$ 2660.00,R$ 3185.78
"TV Samsung T5300 43""",2022-04-12 07:00:00,R$ 2066.72,R$ 1536.00,R$ 600.00
Nintendo Switch,2022-04-12 07:00:00,R$ 800.00,R$ 920.00,R$ 1550.00
Xbox Series S,2022-04-12 08:00:00,R$ 1606.00,R$ 2500.00,R$ 2750.00
iPhone 11 64GB,2022-04-12 08:00:00,R$ 3345.60,R$ 2660.00,R$ 3185.78
"TV Samsung T5300 43""",2022-04-12 08:00:00,R$ 2066.72,R$ 1720.32,R$ 600.00
Nintendo Switch,2022-04-12 08:00:00,R$ 800.00,R$ 920.00,R$ 1550.00
Xbox Series S,2022-04-12 09:00:00,R$ 1606.00,R$ 1000.00,R$ 2750.00
iPhone 11 64GB,2022-04-12 09:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-12 09:00:00,R$ 2066.72,R$ 2425.65,R$ 870.00
Nintendo Switch,2022-04-12 09:00:00,R$ 800.00,R$ 1610.00,R$ 1550.00
Xbox Series S,2022-04-12 10:00:00,R$ 1100.00,R$ 1000.00,R$ 2750.00
iPhone 11 64GB,2022-04-12 10:00:00,R$ 2976.60,R$ 2660.00,R$ 4140.00
"TV Samsung T5300 43""",2022-04-12 10:00:00,R$ 2066.72,R$ 3000.00,R$ 1461.60
Nintendo Switch,2022-04-12 10:00:00,R$ 800.00,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-12 11:00:00,R$ 1100.00,R$ 1720.00,R$ 2750.00
iPhone 11 64GB,2022-04-12 11:00:00,R$ 2976.60,R$ 2660.00,R$ 4140.00
"TV Samsung T5300 43""",2022-04-12 11:00:00,R$ 1426.04,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-12 11:00:00,R$ 1120.00,R$ 1242.00,R$ 1000.00
Xbox Series S,2022-04-12 12:00:00,R$ 1100.00,R$ 1290.00,R$ 2750.00
iPhone 11 64GB,2022-04-12 12:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-12 12:00:00,R$ 1426.04,R$ 2280.00,R$ 768.00
Nintendo Switch,2022-04-12 12:00:00,R$ 1120.00,R$ 1242.00,R$ 1000.00
Xbox Series S,2022-04-12 13:00:00,R$ 1100.00,R$ 1986.60,R$ 2310.00
iPhone 11 64GB,2022-04-12 13:00:00,R$ 2460.00,R$ 3591.00,R$ 4200.00
"TV Samsung T5300 43""",2022-04-12 13:00:00,R$ 1426.04,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-12 13:00:00,R$ 1568.00,R$ 1167.48,R$ 1000.00
Xbox Series S,2022-04-12 14:00:00,R$ 1100.00,R$ 1191.96,R$ 1100.00
iPhone 11 64GB,2022-04-12 14:00:00,R$ 2460.00,R$ 2660.00,R$ 4200.00
"TV Samsung T5300 43""",2022-04-12 14:00:00,R$ 1426.04,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-12 14:00:00,R$ 1646.40,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-12 15:00:00,R$ 1100.00,R$ 1191.96,R$ 1606.00
iPhone 11 64GB,2022-04-12 15:00:00,R$ 2460.00,R$ 4309.20,R$ 4200.00
"TV Samsung T5300 43""",2022-04-12 15:00:00,R$ 2039.23,R$ 1200.00,R$ 600.00
Nintendo Switch,2022-04-12 15:00:00,R$ 1251.26,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-12 16:00:00,R$ 1298.00,R$ 1000.00,R$ 1606.00
iPhone 11 64GB,2022-04-12 16:00:00,R$ 2460.00,R$ 4309.20,R$ 6594.00
"TV Samsung T5300 43""",2022-04-12 16:00:00,R$ 2202.37,R$ 1992.00,R$ 600.00
Nintendo Switch,2022-04-12 16:00:00,R$ 2000.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-12 17:00:00,R$ 2024.88,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-12 17:00:00,R$ 2804.40,R$ 4309.20,R$ 3231.06
"TV Samsung T5300 43""",2022-04-12 17:00:00,R$ 2532.73,R$ 1992.00,R$ 750.00
Nintendo Switch,2022-04-12 17:00:00,R$ 2000.00,R$ 920.00,R$ 1570.00
Xbox Series S,2022-04-12 18:00:00,R$ 2024.88,R$ 1110.00,R$ 1100.00
iPhone 11 64GB,2022-04-12 18:00:00,R$ 2804.40,R$ 4309.20,R$ 3000.00
"TV Samsung T5300 43""",2022-04-12 18:00:00,R$ 2532.73,R$ 1992.00,R$ 600.00
Nintendo Switch,2022-04-12 18:00:00,R$ 2000.00,R$ 920.00,R$ 1868.30
Xbox Series S,2022-04-12 19:00:00,R$ 2750.00,R$ 1587.30,R$ 1100.00
iPhone 11 64GB,2022-04-12 19:00:00,R$ 3449.41,R$ 5127.95,R$ 3000.00
"TV Samsung T5300 43""",2022-04-12 19:00:00,R$ 2532.73,R$ 1992.00,R$ 600.00
Nintendo Switch,2022-04-12 19:00:00,R$ 1080.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-12 20:00:00,R$ 2750.00,R$ 2269.84,R$ 1100.00
iPhone 11 64GB,2022-04-12 20:00:00,R$ 4208.28,R$ 3589.56,R$ 3000.00
"TV Samsung T5300 43""",2022-04-12 20:00:00,R$ 1200.00,R$ 1733.04,R$ 600.00
Nintendo Switch,2022-04-12 20:00:00,R$ 1080.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-12 21:00:00,R$ 2750.00,R$ 2269.84,R$ 1100.00
iPhone 11 64GB,2022-04-12 21:00:00,R$ 4208.28,R$ 3122.92,R$ 4200.00
"TV Samsung T5300 43""",2022-04-12 21:00:00,R$ 1728.00,R$ 1733.04,R$ 600.00
Nintendo Switch,2022-04-12 21:00:00,R$ 1252.80,R$ 920.00,R$ 1660.00
Xbox Series S,2022-04-12 22:00:00,R$ 1100.00,R$ 1000.00,R$ 1452.00
iPhone 11 64GB,2022-04-12 22:00:00,R$ 5639.10,R$ 3122.92,R$ 6468.00
